"X","BA","BE","GP","TI","SO","CT","CY","CL","SP","HO","Scope","Method","DevelopmentalStage","Study.Focus","Expt.Factors","Conservation.Relevance","Partner","FocalSpp","Focal.Fam","AB","SN","EI","BN","PD","PY","VL","IS","BP","EP","AR","DI","D2","EA","UT","PM","OA","HC","HP","DA","Expt.Factors.Stress","NumStress","Interaction","NumStressInt"
"Wolfowicz, I; Baumgarten, S; Voss, PA; Hambleton, EA; Voolstra, CR; Hatta, M; Guse, A",NA,NA,NA,"Aiptasia sp larvae as a model to reveal mechanisms of symbiont selection in cnidarians","SCIENTIFIC REPORTS","","","","","","single organism","shotgun RNAseq","larvae","symbiosis","symbiotic state",NA,"Anemone host","Aiptasia","Aiptasiidae","Symbiosis, defined as the persistent association between two distinct species, is an evolutionary and ecologically critical phenomenon facilitating survival of both partners in diverse habitats. The biodiversity of coral reef ecosystems depends on a functional symbiosis with photosynthetic dinoflagellates of the highly diverse genus Symbiodinium, which reside in coral host cells and continuously support their nutrition. The mechanisms underlying symbiont selection to establish a stable endosymbiosis in non-symbiotic juvenile corals are unclear. Here we show for the first time that symbiont selection patterns for larvae of two Acropora coral species and the model anemone Aiptasia are similar under controlled conditions. We find that Aiptasia larvae distinguish between compatible and incompatible symbionts during uptake into the gastric cavity and phagocytosis. Using RNA-Seq, we identify a set of candidate genes potentially involved in symbiosis establishment. Together, our data complement existing molecular resources to mechanistically dissect symbiont phagocytosis in cnidarians under controlled conditions, thereby strengthening the role of Aiptasia larvae as a powerful model for cnidarian endosymbiosis establishment.","2045-2322","",NA,"1-Sep",2016,6,"",NA,"","32366","10.1038/srep32366",NA,"","WOS:000382329100001",27582179,NA,NA,NA,NA,NA,NA,"none",NA
"Sorek, M; Schnytzer, Y; Ben-Asher, HW; Caspi, VC; Chen, CS; Miller, DJ; Levy, O",NA,NA,NA,"Setting the pace: host rhythmic behaviour and gene expression patterns in the facultatively symbiotic cnidarian Aiptasia are determined largely by Symbiodinium","MICROBIOME","","","","","","single organism","shotgun RNAseq","adult","symbiosis;circadian rhythm","symbiotic state;light:dark;time course",NA,"Anemone host","Aiptasia","Aiptasiidae","Background: All organisms employ biological clocks to anticipate physical changes in the environment; however, the integration of biological clocks in symbiotic systems has received limited attention. In corals, the interpretation of rhythmic behaviours is complicated by the daily oscillations in tissue oxygen tension resulting from the photosynthetic and respiratory activities of the associated algal endosymbiont Symbiodinium. In order to better understand the integration of biological clocks in cnidarian hosts of Symbiodinium, daily rhythms of behaviour and gene expression were studied in symbiotic and aposymbiotic morphs of the sea-anemone Aiptasia diaphana. Results: The results showed that whereas circatidal (approx. 12-h) cycles of activity and gene expression predominated in aposymbiotic morphs, circadian (approx. 24-h) patterns were the more common in symbiotic morphs, where the expression of a significant number of genes shifted from a 12-to 24-h rhythm. The behavioural experiments on symbiotic A. diaphana displayed diel (24-h) rhythmicity in body and tentacle contraction under the light/dark cycles, whereas aposymbiotic morphs showed approximately 12-h (circatidal) rhythmicity. Reinfection experiments represent an important step in understanding the hierarchy of endogenous clocks in symbiotic associations, where the aposymbiotic Aiptasia morphs returned to a 24-h behavioural rhythm after repopulation with algae. Conclusion: Whilst some modification of host metabolism is to be expected, the extent to which the presence of the algae modified host endogenous behavioural and transcriptional rhythms implies that it is the symbionts that influence the pace. Our results clearly demonstrate the importance of the endosymbiotic algae in determining the timing and the duration of the extension and contraction of the body and tentacles and temporal gene expression.","2049-2618","",NA,"9-May",2018,6,"",NA,"","83","10.1186/s40168-018-0465-9",NA,"","WOS:000431898600001",29739445,NA,NA,NA,NA,NA,NA,"none",NA
"Roesel, CL; Vollmer, SV",NA,NA,NA,"Differential gene expression analysis of symbiotic and aposymbiotic Exaiptasia anemones under immune challenge with Vibrio coralliilyticus","ECOLOGY AND EVOLUTION","","","","","","single organism","shotgun RNAseq","adult","symbiosis;disease","symbiotic state;pathogen",NA,"Anemone host","Aiptasia","Aiptasiidae","Anthozoans are a class of Cnidarians that includes scleractinian corals, anemones, and their relatives. Despite a global rise in disease epizootics impacting scleractinian corals, little is known about the immune response of this key group of invertebrates. To better characterize the anthozoan immune response, we used the model anemone Exaiptasia pallida to explore the genetic links between the anthozoan-algal symbioses and immunity in a two-factor RNA-Seq experiment using both symbiotic and aposymbiotic (menthol-bleached) Exaiptasia pallida exposed to the bacterial pathogen Vibrio coralliilyticus. Multivariate and univariate analyses of Exaiptasia gene expression demonstrated that exposure to live Vibrio coralliilyticus had strong and significant impacts on transcriptome-wide gene expression for both symbiotic and aposymbiotic anemones, but we did not observe strong interactions between symbiotic state and Vibrio exposure. There were 4,164 significantly differentially expressed (DE) genes for Vibrio exposure, 1,114 DE genes for aposymbiosis, and 472 DE genes for the additive combinations of Vibrio and aposymbiosis. KEGG enrichment analyses identified 11 pathways-involved in immunity (5), transport and catabolism (4), and cell growth and death (2)-that were enriched due to both Vibrio and/or aposymbiosis. Immune pathways showing strongest differential expression included complement, coagulation, nucleotide-binding, and oligomerization domain (NOD), and Toll for Vibrio exposure and coagulation and apoptosis for aposymbiosis.","2045-7758","",NA,"JUL",2019,9,"14",8279,"8293","","10.1002/ece3.5403",NA,"Jun-19","WOS:000473988600001",31380089,NA,NA,NA,NA,"pathogen",1,"none",1
"Poole, AZ; Kitchen, SA; Weis, VM",NA,NA,NA,"The Role of Complement in Cnidarian-Dinoflagellate Symbiosis and Immune Challenge in the Sea Anemone Aiptasia pallida","FRONTIERS IN MICROBIOLOGY","","","","","","single organism","qRT-PCR","adult","symbiosis;disease","symbiotic state;pathogen",NA,"Anemone host","Aiptasia","Aiptasiidae","The complement system is an innate immune pathway that in vertebrates, is responsible for initial recognition and ultimately phagocytosis and destruction of microbes. Several complement molecules including C3, Factor B, and mannose binding lectin associated serine proteases (MASP) have been characterized in invertebrates and while most studies have focused on their conserved role in defense against pathogens, little is known about their role in managing beneficial microbes. The purpose of this study was to (1) characterize complement pathway genes in the symbiotic sea anemone Aiptasia (2) investigate the evolution of complement genes in invertebrates, and (3) examine the potential dual role of complement genes Factor B and MASP in the onset and maintenance of cnidarian-dinoflagellate symbiosis and immune challenge using qPCR based studies. The results demonstrate that A. pallida has multiple Factor B genes (Ap_Bf-1. Ap_Bf-2a, and Ap_Bf-2b) and one MASP gene (Ap_MASP). Phylogenetic analysis indicates that the evolutionary history of complement genes is complex, and there have been many gene duplications or gene loss events, even within members of the same phylum. Gene expression analyses revealed a potential role for complement in both onset and maintenance of cnidarian-dinoflagellate symbiosis and immune challenge. Specifically, Ap_Bf-1 and Ap_MASP are significantly upregulated in the light at the onset of symbiosis and in response to challenge with the pathogen Serratia marcescens suggesting that they play a role in the initial recognition of both beneficial and harmful microbes. Ap_Bf-2b in contrast, was generally downregulated during the onset and maintenance of symbiosis and in response to challenge with S. marcescens. Therefore, the exact role of Ap_Bf-2b in response to microbes remains unclear, but the results suggest that the presence of microbes leads to repressed expression. Together, these results indicate functional divergence between Ap_Bf-1 and Ap_Bf-2b, and that Ap_Bf-1 and Ap_MASP may be functioning together in an ancestral hybrid of the lectin and alternative complement pathways. Overall, this study provides information on the role of the complement system in a basal metazoan and its role in host-microbe interactions.","1664-302X","",NA,"22-Apr",2016,7,"",NA,"","519","10.3389/fmicb.2016.00519",NA,"","WOS:000374594500002",27148208,NA,NA,NA,NA,"pathogen",1,"none",1
"Bailey, GF; Coelho, JC; Poole, AZ",NA,NA,NA,"Differential expression of Exaiptasia pallida GIMAP genes upon induction of apoptosis and autophagy suggests a potential role in cnidarian symbiosis and disease","JOURNAL OF EXPERIMENTAL BIOLOGY","","","","","","single organism","qRT-PCR","adult","symbiosis;short term stress;disease","symbiotic state;pathogen",NA,"Anemone host","Aiptasia","Aiptasiidae","Coral reefs, one of the world's most productive and diverse ecosystems, are currently threatened by a variety of stressors that result in increased prevalence of both bleaching and disease. Therefore, understanding the molecular mechanisms involved in these responses is critical to mitigate future damage to the reefs. One group of genes that is potentially involved in cnidarian immunity and symbiosis is GTPases of immunity associated proteins (GIMAP). In vertebrates, this family of proteins is involved in regulating the fate of developing lymphocytes and interacts with proteins involved in apoptosis and autophagy. As apoptosis, autophagy and immunity have previously been shown to be involved in cnidarian symbiosis and disease, the goal of this research was to determine the role of cnidarian GIMAPs in these processes using the anemone Exaiptasia pallida. To do so, GIMAP genes were characterized in the E. pallida genome and changes in gene expression were measured using qPCR in response to chemical induction of apoptosis, autophagy and treatment with the immune stimulant lipopolysaccharide (LPS) in both aposymbiotic and symbiotic anemones. The results revealed four GIMAP-like genes in E. pallida, referred to as Ep GIMAPs. Induction of apoptosis and autophagy resulted in a general downregulation of Ep GIMAPs, but no significant changes were observed in response to LPS treatment. This indicates that Ep_GIMAPs may be involved in the regulation of apoptosis and autophagy, and therefore could play a role in cnidarian-dinoflagellate symbiosis. Overall, these results increase our knowledge on the function of GIMAPs in a basal metazoan.","0022-0949","1477-9145",NA,"NOV",2020,223,"21",NA,"","jeb229906","10.1242/jeb.229906",NA,"","WOS:000590598700018",NA,NA,NA,NA,NA,"pathogen",1,"none",1
"Mitchelmore, CL; Schwarz, JA; Weis, VM",NA,NA,NA,"Development of symbiosis-specific genes as biomarkers for the early detection of cnidarian-algal symbiosis breakdown","MARINE ENVIRONMENTAL RESEARCH","11th International Symposium on Pollutant Responses in Marine Organisms (PRIMO 11)","JUL 10-13, 2001","PLYMOUTH, ENGLAND","","","single organism","qRT-PCR","adult","symbiosis;short term stress","symbiotic state;pollutants","biomarker","Anemone host","Anthopleura elegantissima","Actiniidae","Coral bleaching, i.e. the loss of dinoflagellate symbionts from cnidarian hosts, is occurring globally at increasing rates, scales, and severity. The significance of these bleaching events to the health of coral reef ecosystems is extreme, as bleached corals exhibit high mortality, reduced fecundity, and productivity and increased susceptibility to disease. This decreased coral fitness leads to reef degradation and ultimately to the breakdown of the coral reef ecosystem. To date,there has been little work describing the application of biomarkers to assess coral health. The most commonly applied biomarker is, in fact, the bleaching event itself. We are interested in developing early warning biomarkers that can detect coral stress before bleaching occurs. Recently, several genes that are likely to function in regulating interactions between cnidarians and their symbionts have been characterized, using the temperate sea anemone Anthopleura elegantissima as a model species. One ""symbiosis gene"" identified from the host genome, sym32, is expressed as a function of anemone symbiotic-state, where sym32 expression is higher in symbiotic cf. aposymbiotic (symbiont-free) anemones. Real-time quantitative RT-PCR suggested that the level of sym32 expression was correlated with the abundance of algae in the host. Furthermore, laboratory exposures of anemones to low levels of cadmium (0, 20, 100 mug(-1) CdCl2; 14 days), which caused no change in algal cell numbers, resulted in a down-regulation of sym32 compared to controls, indicating that sym32 expression may serve as a new sensitive early warning biomarker of cnidarian-algal symbiosis breakdown. (C) 2002 Elsevier Science Ltd. All rights reserved.","0141-1136","",NA,"SEP-DEC",2002,54,"5-Mar",345,"349","PII S0141-1136(02)00201-5","10.1016/S0141-1136(02)00201-5",NA,"","WOS:000178360100026",12408586,NA,NA,NA,NA,"pollutants",1,"none",1
"Cleves, PA; Krediet, CJ; Lehnert, EM; Onishi, M; Pringle, JR",NA,NA,NA,"Insights into coral bleaching under heat stress from analysis of gene expression in a sea anemone model system","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","","","","","","single organism","shotgun RNAseq","adult","symbiosis;short term stress","symbiotic state;temperature",NA,"Anemone host","Aiptasia","Aiptasiidae","Loss of endosymbiotic algae (""bleaching"") under heat stress has become a major problem for reef-building corals worldwide. To identify genes that might be involved in triggering or executing bleaching, or in protecting corals from it, we used RNAseq to an-alyze gene-expression changes during heat stress in a coral relative, the sea anemone Aiptasia. We identified >500 genes that showed rapid and extensive up-regulation upon temperature increase. These genes fell into two clusters. In both clusters, most genes showed similar expression patterns in symbiotic and aposymbiotic anemones, suggesting that this early stress response is largely independent of the symbiosis. Cluster I was highly enriched for genes involved in innate immunity and apoptosis, and most transcript levels returned to baseline many hours before bleaching was first detected, raising doubts about their possible roles in this process. Cluster II was highly enriched for genes involved in protein folding, and most transcript levels returned more slowly to baseline, so that roles in either promoting or preventing bleaching seem plausible. Many of the genes in clusters I and II appear to be targets of the transcription factors NF kappa B and HSF1, respectively. We also examined the behavior of 337 genes whose much higher levels of expression in symbiotic than aposymbiotic anemones in the absence of stress suggest that they are important for the symbiosis. Unexpectedly, in many cases, these expression levels declined precipitously long before bleaching itself was evident, suggesting that loss of expression of symbiosis-supporting genes may be involved in triggering bleaching.","0027-8424","",NA,"17-Nov",2020,117,"46",28906,"28917","","10.1073/pnas.2015737117",NA,"","WOS:000591366000001",33168733,NA,NA,NA,NA,"temperature",1,"none",1
"Baumgarten, S; Cziesielski, MJ; Thomas, L; Michell, CT; Esherick, LY; Pringle, JR; Aranda, M; Voolstra, CR",NA,NA,NA,"Evidence for miRNA-mediated modulation of the host transcriptome in cnidarian-dinoflagellate symbiosis","MOLECULAR ECOLOGY","","","","","","single organism","shotgun RNAseq","adult","symbiosis","symbiotic state;time course",NA,"Anemone host","Aiptasia","Aiptasiidae","Reef-building corals and other cnidarians living in symbiotic relationships with intracellular, photosynthetic dinoflagellates in the genus Symbiodinium undergo transcriptomic changes during infection with the algae and maintenance of the endosymbiont population. However, the precise regulatory mechanisms modulating the host transcriptome are unknown. Here, we report apparent post-transcriptional gene regulation by miRNAs in the sea anemone Aiptasia, a model system for cnidarian-dinoflagellate endosymbiosis. Aiptasia encodes mainly species-specific miRNAs, and there appears to have been recent differentiation within the Aiptasia genome of miRNAs that are commonly conserved among anthozoan cnidarians. Analysis of miRNA expression showed that both conserved and species-specific miRNAs are differentially expressed in response to endosymbiont infection. Using cross-linking immunoprecipitation of Argonaute, the central protein of the miRNA-induced silencing complex, we identified miRNA binding sites on a transcriptome-wide scale and found that the targets of the miRNAs regulated in response to symbiosis include genes previously implicated in biological processes related to Symbiodinium infection. Our study shows that cnidarian miRNAs recognize their mRNA targets via high-complementarity target binding and suggests that miRNA-mediated modulations of genes and pathways are important during the onset and maintenance of cnidarian-dinoflagellate endosymbiosis.","0962-1083","1365-294X",NA,"JAN",2018,27,"2",403,"418","","10.1111/mec.14452",NA,"","WOS:000428069400007",29218749,NA,NA,NA,NA,NA,NA,"none",NA
"Koch, JC; Verde, EA; Weis, VM",NA,NA,NA,"Carbonic anhydrases are influenced by the size and symbiont identity of the aggregating sea anemone Anthopleura elegantissima","JOURNAL OF EXPERIMENTAL BIOLOGY","","","","","","single organism","qRT-PCR","adult","symbiosis;short term stress","symbiotic state;UVR",NA,"Anemone host","Anthopleura elegantissima","Actiniidae","Carbonic anhydrases (CA; EC 4.2.1.1) play a vital role in dissolved inorganic carbon (DIC) transport to photosynthetic microalgae residing in symbiotic cnidarians. The temperate sea anemone Anthopleura elegantissima can occur in three symbiotic states: hosting Breviolum muscatinei (brown), hosting Elliptochloris marina (green) or without algal symbionts (aposymbiotic). This provides a basis for A. elegantissima to be a model for detailed studies of the role of CA in DIC transport. This study investigated the effects of symbiosis, body size and light on CA activity and expression. and suggests that A. elegantissima has a heterotrophy-dominated trophic strategy. We identified putative A. elegantissima CA genes and performed phylogenetic analyses to infer subcellular localization in anemones. We performed experiments on field-collected anemones to compare: (1) CA activity and expression from anemones in different symbiotic states, (2) CA activity in brown anemones as a function of size, and (3) CA activity in anemones of different symbiotic states that were exposed to different light intensities. CA activity in brown anemones was highest, whereas activity in green and aposymbiotic anemones was low. Several CAs had expression patterns that mirrored activity, while another had expression that was inversely correlated with activity, suggesting that symbionts may induce different DIC transport pathways. Finally, CA activity was inversely correlated with anemone size. Our results suggest that the observed CA activity and expression patterns are affected not only by symbiosis, but also by other factors in the host physiology, including trophic strategy as it relates to body size and cellular pH homeostasis.","0022-0949","1477-9145",NA,"JUL",2020,223,"13",NA,"","jeb221424","10.1242/jeb.221424",NA,"","WOS:000576693100016",NA,NA,NA,NA,NA,"UVR",1,"none",1
"Richier, S; Rodriguez-Lanetty, M; Schnitzler, CE; Weis, VM",NA,NA,NA,"Response of the symbiotic cnidarian Anthopleura elegantissima transcriptome to temperature and UV increase","COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY D-GENOMICS & PROTEOMICS","","","","","","single organism","microarray","adult","short term stress","temperature;UVR",NA,"Anemone host","Anthopleura elegantissima","Actiniidae","Elevated temperature and solar radiation, including ultraviolet radiation, are now recognized as the primary environmental stresses that lead to mass cnidarian bleaching. This study takes a functional genomics approach to identifying genes that change expression soon after exposure to these stressors in the temperate sea anemone Anthopleura elegantissima that harbors Symbiodinium, the same genus of symbionts found in reef-building corals. Symbiotic anemones were subjected to elevated temperature or UV over a 24 h period. cDNA from these animals was hybridized to a 10,000-feature cDNA microarray of A. elegantissima. Overall 2.7% of the 10,000 features were found to be differentially expressed as a function of temperature or UV stress. Of the 86 features sequenced, 45% displayed significant homology to sequences in GenBank. There are 27 features that were differentially expressed in both stress conditions. Gene ontology analysis placed the differentially expressed genes in a wide range of categories including cytoskeleton organization and biogenesis, protein biosynthesis, cell proliferation, apoptosis and transport. This suggests that the early stress response to elevated temperature and UV involves essentially all aspects of host cellular regulation and machinery and that downstream cnidarian bleaching is a complex cellular response in host tissues. (C) 2008 Elsevier Inc. All rights reserved.","1744-117X","1878-0407",NA,"DEC",2008,3,"4",283,"289","","10.1016/j.cbd.2008.08.001",NA,"","WOS:000261250900006",20494848,NA,NA,NA,NA,"temperature;UVR",2,"none",2
"Moya, A; Ganot, P; Furla, P; Sabourault, C",NA,NA,NA,"The transcriptomic response to thermal stress is immediate, transient and potentiated by ultraviolet radiation in the sea anemone Anemonia viridis","MOLECULAR ECOLOGY","","","","","","single organism","microarray","adult","short term stress","temperature;UVR;temp x UVR",NA,"Anemone host","Anemonia viridis","Actiniidae","Among the environmental threats to coral reef health, temperature and ultraviolet increases have been proposed as major agents, although the relative contribution of each in the cnidarian/zooxanthellae symbiosis breakdown has been poorly addressed. We have investigated the transcriptomic response to thermal stress, with and without ultraviolet radiation (UVR), in the symbiotic sea anemone Anemonia viridis. Using the Oligo2K A.similar to viridis microarray, dedicated to genes potentially involved in the symbiosis interaction, we monitored the gene expression profiles after 1, 2 and 5 days of stresses that further lead to massive losses of zooxanthellae. Each stress showed a specific gene expression profile with very little overlap. We showed that the major response to thermal stress is immediate (24 h) but returns to the baseline gene expression profile after 2 days. UVR alone has little effect but potentiates thermal stress, as a second response at 5 days was observed when the two stresses were coupled. Several pathways were highlighted, such as mesoglea loosening, cell death and calcium homeostasis and described in more details. Finally, we showed that the dermatopontin gene family, potentially involved in collagen fibrillogenesis, issued from actinarian-specific duplication events, with one member preferentially expressed in the gastroderm and specifically responding to stress.","0962-1083","1365-294X",NA,"MAR",2012,21,"5",1158,"1174","","10.1111/j.1365-294X.2012.05458.x",NA,"","WOS:000300699500012",22288383,NA,NA,NA,NA,"temperature;UVR;temp x UVR",3,"interaction",2
